100 200
35 35 0
41 49 10
35 17 07
55 45 13
55 20 19
15 30 26
25 30 03
20 50 05
10 43 09
55 60 16
30 60 16
20 65 12
50 35 19
30 25 23
15 10 20
30 05 08
10 20 19
05 30 02
20 40 12
15 60 17
45 65 09
45 20 11
45 10 18
55 05 29
65 35 03
65 20 06
45 30 17
35 40 16
41 37 16
64 42 09
40 60 21
31 52 27
35 69 23
53 52 11
65 55 14
63 65 08
02 60 05
20 20 08
05 05 16
60 12 31
40 05 09
42 07 05
24 12 05
23 03 07
11 14 18
06 38 16
02 48 01
08 56 27
13 52 36
06 68 30
47 47 13
49 58 10
27 43 09
37 31 14
57 29 18
63 23 02
53 12 06
32 12 07
36 26 18
21 24 28
17 34 03
12 24 13
24 58 19
27 69 10
15 77 09
62 77 20
49 73 25
67 05 25
56 39 36
37 47 06
37 56 05
57 68 15
47 16 25
44 17 09
46 13 08
49 11 18
49 42 13
53 43 14
61 52 03
57 48 23
56 37 06
55 54 26
15 47 16
14 37 11
11 31 07
16 22 41
04 18 35
28 18 26
26 52 09
26 35 15
31 67 03
15 19 01
22 22 02
18 24 22
26 27 27
25 24 20
22 27 11
25 21 12
19 21 10
20 26 09
18 18 17
